Artifact #,site,period,additional looks,class,is_valid,indicative,additional,material,height[cm],width[cm],diameter[cm],length[cm],object name,,orig site,orig period
30,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.8,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
31,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,19.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
32,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.5,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
33,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.4,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
34,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,18.5,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
35,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.2,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
36,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,14.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
37,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.8,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
38,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,19,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
39,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.7,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
40,Yavne (north-west),Iron II,2,24,1,yes,,Pottery,16,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
41,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,19.1,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
42,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.5,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
43,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,14.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
44,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,12.5,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
45,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,16.9,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
46,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.7,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
47,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
48,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,19.7,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
49,Yavne (north-west),Iron II,1,24,1,yes,,Pottery,18.5,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
50,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.2,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
51,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,15.1,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
52,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,20,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
53,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,16.8,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
54,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.1,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
55,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,18.1,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
56,Yavne (north-west),Iron II,1,24,1,yes,,Pottery,18.7,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
57,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,19,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
58,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,12.3,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
59,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
60,Yavne (north-west),Iron II,1,24,1,yes,,Pottery,none,16.8,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
61,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,14.4,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
62,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,18.5,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
63,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,14.5,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
64,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,none,none,,"Fragment;""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
65,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.2,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
66,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,19.5,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
67,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.8,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
68,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,26.5,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
69,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,16.9,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
70,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.2,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
71,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
72,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
73,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,16,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
74,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,12,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
75,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,16,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
76,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,19.7,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
77,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,14,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
78,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.9,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
79,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,16,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
80,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,16.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
81,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,18,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
82,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,18.5,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
83,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,15.6,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
84,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,21.5,none,none,,"""Cult"" Stand;",,Yavne (north-west),Iron II
85,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,20,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
86,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,15.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
87,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,16.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
88,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,13.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
89,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
90,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.2,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
91,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,17.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
92,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,16.8,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
93,Yavne (north-west),Iron II,2,24,1,yes,,Pottery,19.3,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
94,Yavne (north-west),Iron II,1,24,1,yes,,Pottery,18.6,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
95,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,20.7,none,none,,"""Cult"" Stand;Decorated in Relief",,Yavne (north-west),Iron II
96,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,1,3,1,yes,,Copper,9.7,18,none,,"""Cult"" Stand;Decorated in Relief",,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
97,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,8.5,none,15.7,,"""Cult"" Stand;",,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
98,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,9,none,16.3,,"""Cult"" Stand;",,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
99,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,9.1,none,17.2,,"""Cult"" Stand;",,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
100,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,11.2,18.4,none,,"""Cult"" Stand;Decorated in Relief",,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
101,Dan- T.,Iron II,2,297,1,yes,,Pottery,65,none,35,,"""Cult"" Stand;Painted",,Dan- T.,Iron II
102,Bet She'an- T.,Late Bronze II,3,26,1,yes,,Pottery,67.5,none,none,,"Body;""Cult"" Stand;Handled, Painted, Zoomorphic, Birds",,Bet She'an- T.,Late Bronze II
103,`Ai,Iron I,2,687,1,yes,,Pottery,none,34,none,,"""Cult"" Stand;Fenestrated, Decorated in Relief",,`Ai,Iron I
104,Megiddo- T.,Iron II,0,56,1,yes,,Pottery,33,none,none,,"""Cult"" Stand;",,Megiddo- T.,Iron II
105,Rehov- T.,Iron IIA,3,165,1,yes,,Pottery,none,none,none,,"""Cult"" Stand, Altar;Fenestrated",,Rehov- T.,Iron IIA
106,Yavne (north-west),Iron II,1,24,1,yes,,Pottery,none,18.1,none,,"""Cult"" Stand, Shrine Model;Decorated in Relief",,Yavne (north-west),Iron II
107,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,16.6,none,,"""Cult"" Stand, Shrine Model;Decorated in Relief",,Yavne (north-west),Iron II
108,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,17,none,,"""Cult"" Stand, Shrine Model;Decorated in Relief",,Yavne (north-west),Iron II
109,Yavne (north-west),Iron II,0,24,1,yes,,Pottery,none,17.8,none,,"""Cult"" Stand, Shrine Model;Decorated in Relief",,Yavne (north-west),Iron II
110,Mezad Hazeva,Iron II,2,55,1,yes,,Pottery,36,none,15,,"""Cult"" Stand, Statue;Female Image",,Mezad Hazeva,Iron II
111,Mezad Hazeva,Iron II,2,55,1,yes,,Pottery,none,none,none,,"""Cult"" Stand, Statue;Anthropomorphic, Painted",,Mezad Hazeva,Iron II
112,Mezad Hazeva,Iron II,1,55,1,yes,,Pottery,42,none,16,,"""Cult"" Stand, Statue;Anthropomorphic, Edomite",,Mezad Hazeva,Iron II
113,Lakhish- T.,Iron II,2,1,1,yes,,Pottery,63,46,none,,"""Lammelek-like"" Jar;",,Lakhish- T.,Iron II
114,Lakhish- T.,Iron II,2,1,1,yes,,Pottery,64,54,none,,"""Lammelek-like"" Jar;",,Lakhish- T.,Iron II
115,Jerusalem- Old City- Jewish Quarter- Area F- M,Early Roman,1,29,1,yes,,Limestone,12,15,none,,"""Measuring"" Cup;",,Jerusalem- Old City- Jewish Quarter- Area F- M,Early Roman (period)
116,Jerusalem- Old City- Jewish Quarter- Area F- M,Early Roman,2,29,1,yes,,Limestone,7.3,9,none,,"""Measuring"" Cup;",,Jerusalem- Old City- Jewish Quarter- Area F- M,Early Roman (period)
117,Jerusalem- Har ha-Zofim (east),Early Roman,1,73,1,yes,,Limestone,none,none,none,,"""Measuring"" Cup;",,Jerusalem- Har ha-Zofim (east),Early Roman (period)
118,Jerusalem- Har ha-Zofim (east),Early Roman,2,73,1,yes,,Limestone,none,none,none,,"""Measuring"" Cup;",,Jerusalem- Har ha-Zofim (east),Early Roman (period)
119,Jerusalem- Har ha-Zofim (east),Early Roman,1,73,1,yes,,Limestone,none,none,none,,"""Measuring"" Cup;",,Jerusalem- Har ha-Zofim (east),Early Roman (period)
120,Jerusalem- Har ha-Zofim (east),Early Roman,2,73,1,yes,,Limestone,none,none,none,,"""Measuring"" Cup;",,Jerusalem- Har ha-Zofim (east),Early Roman (period)
121,Hizma,Early Roman,1,502,1,yes,,Limestone,13,none,none,,"""Measuring"" Cup;",,Hizma,Early Roman (period)
122,Jerusalem- ha-`Ophel,Iron II,1,256,1,yes,,Limestone,2.1,none,none,,2 Shekel Weight;,,Jerusalem- ha-`Ophel,Iron II
123,`Azeqa- T.,Iron II,1,517,1,yes,,Limestone,2.5,3.2,none,,4 Shekel Weight;,,`Azeqa- T.,Iron II
124,`En Gedi - Goren- Tell,Iron II,1,361,1,yes,,Limestone,2.2,none,3.2,,4 Shekel Weight;,,`En Gedi - Goren- Tell,Iron II
125,Jerusalem- ha-`Ophel,Iron II,1,256,1,yes,,Limestone,5.9,none,7.1,,4 Shekel Weight;,,Jerusalem- ha-`Ophel,Iron II
126,Lakhish- T.,Iron II,1,1,1,yes,,Limestone,none,none,none,,4 Shekel Weight;,,Lakhish- T.,Iron II
127,Lakhish- T.,Iron II,1,1,1,yes,,Limestone,none,3.5,none,,8 Shekel Weight;,,Lakhish- T.,Iron II
128,Jerusalem- ha-`Ophel,Iron II,1,256,1,yes,,Limestone,3.5,none,4.1,,8 Shekel Weight;,,Jerusalem- ha-`Ophel,Iron II
129,Zif- Kh.,Middle Palaeolithic,1,72,1,yes,,Flint,none,2.6,none,,Abu Zif point;,,Zif- Kh.,Middle Palaeolithic
130,Zif- Kh.,Middle Palaeolithic,2,72,1,yes,,Flint,none,4,none,,Abu Zif point;,,Zif- Kh.,Middle Palaeolithic
131,Zif- Kh.,Middle Palaeolithic,1,72,1,yes,,Flint,none,2.4,none,,Abu Zif point;,,Zif- Kh.,Middle Palaeolithic
132,Zif- Kh.,Middle Palaeolithic,1,72,1,yes,,Flint,none,3.5,none,,Abu Zif point;,,Zif- Kh.,Middle Palaeolithic
133,Zif- Kh.,Middle Palaeolithic,1,72,1,yes,,Flint,none,3.3,none,,Abu Zif point;,,Zif- Kh.,Middle Palaeolithic
134,Zif- Kh.,Middle Palaeolithic,1,72,1,yes,,Flint,none,2.4,none,,Abu Zif point;,,Zif- Kh.,Middle Palaeolithic
135,Rasm Kharbush,Late Chalcolithic,1,237,1,yes,,Flint,none,none,none,,Adze;,,Rasm Kharbush,Late Chalcolithic
136,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
137,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
138,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
139,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
140,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
141,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
142,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
143,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
144,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
145,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
146,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
147,Nahal Pattish (Gilat),Late Chalcolithic,1,2,1,yes,,Flint,none,none,none,,Adze;,,Nahal Pattish (Gilat),Late Chalcolithic
148,Besamon,Pottery Neolithic,2,28,1,yes,,Limestone,none,2.4,none,,Adze;,,Besamon,Neolithic
149,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
150,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
151,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
152,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
153,Kfar Monash,Early Bronze I,0,1210,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze I
154,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
155,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
156,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
157,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,3.7,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
158,Kfar Monash,Early Bronze IB,1,65,1,yes,,Copper,none,none,none,,Adze;Egyptian,,Kfar Monash,Early Bronze IB
159,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,1,3,1,yes,,Copper,none,3,none,,Adze;,,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
160,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,none,3.8,none,,Adze;,,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
161,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,none,2.8,none,,Adze;,,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
162,Nahal Mishmar- Cave of the Treasure,Late Chalcolithic,0,3,1,yes,,Copper,none,3.8,none,,Adze;,,Nahal Mishmar- Me`arat ha-Matmon,Late Chalcolithic
163,Besamon,Pre-Pottery Neolithic,2,14,1,yes,,Flint,none,4.3,none,,Adze;,,Besamon,Pre-Pottery Neolithic B
164,Besamon,Pre-Pottery Neolithic,2,14,1,yes,,Flint,none,4.2,none,,Adze;,,Besamon,PPN
165,Ha-Gosherim- Nili (north),Pottery Neolithic,2,20,1,yes,,Flint,none,6,none,,Adze;,,Ha-Gosherim- Nili (north),Pottery Neolithic
166,Ha-Gosherim- Nili (north),Pottery Neolithic,2,20,1,yes,,Flint,none,5.2,none,,Adze;,,Ha-Gosherim- Nili (north),Pottery Neolithic
167,Ha-Gosherim- Nili (north),Pottery Neolithic,2,20,1,yes,,Flint,none,5.2,none,,Adze;,,Ha-Gosherim- Nili (north),Pottery Neolithic
168,Ha-Gosherim- Nili (north),Pottery Neolithic,2,20,1,yes,,Flint,none,6.7,none,,Adze;,,Ha-Gosherim- Nili (north),Pottery Neolithic
169,Turmus- T.,Pre-Pottery Neolithic,0,1166,1,yes,,Flint,none,3.8,none,,Adze;,,Turmus- T.,Pre-Pottery Neolithic
170,Haifa- T. Abu Hawwam,Iron I,0,208,1,yes,,Bronze,none,none,none,,"Adze (?), Axe (?);",,Haifa- T. Abu Hawwam,Iron I
171,Gezer- T.,Persian,0,927,1,yes,,Alabaster,18.4,none,none,,Alabastron;,,Gezer- T.,Persian
172,`Atlit,Persian,2,83,1,yes,,Alabaster,12.8,none,none,,Alabastron;,,`Atlit,Persian
173, Unknown,Persian,2,invalid,0,yes,,Glass,11,4,none,,Alabastron;,, Unknown,Persian
174,`Ujul- T. el-,Middle Bronze II,0,22,1,yes,,Alabaster,20.5,none,none,,Alabastron;,,`Ujul- T. el-,Middle Bronze II
175,`Ujul- T. el-,Middle Bronze II,1,22,1,yes,,Alabaster,18.9,none,none,,Alabastron;,,`Ujul- T. el-,Middle Bronze II
176,Brit Ahim,Hellenistic,0,1261,1,yes,,Alabaster,10.2,2.7,none,,Alabastron;,,Brit Ahim,Hellenistic
177,Bet Mirsham- T.,Middle Bronze II,1,66,1,yes,,Alabaster,11.5,none,none,,Body;Alabastron;,,Bet Mirsham- T.,Middle Bronze II
178,`Ujul- T. el-,Middle Bronze II,0,22,1,yes,,Alabaster,none,none,none,,Alabastron;,,`Ujul- T. el-,Middle Bronze II
179,קברים ליד מכמש,Persian,1,812,1,yes,,Alabaster,none,none,none,,Alabastron;,,קברים ליד מכמש,Persian
180,`Akko- Persian Garden,Late Bronze II,0,43,1,yes,,Alabaster,none,none,none,,Alabastron;,,`Akko- Persian Garden,Late Bronze II
181,Akhziv,Persian,0,748,1,yes,,Alabaster,20.5,none,none,,Alabastron;,,Akhziv,Persian
