class_id,class_name,num_of_images
47,`En Besor_Early Bronze IB,58
48,Hurfeish_Late Roman,57
49,Wadi Murabba`at- Cave 1_Roman,57
50,Samaria_Iron II,57
51,`Arad- T._Early Bronze II,54
52,Megiddo- T._Iron II,53
53,Mezad Hazeva_Iron II,53
54,Jerusalem- City of David_Persian,52
55,מעין ברוך_Lower Palaeolithic,52
56,Mafjar- Kh. el-_Umayyad,51
57,Bet-Shemesh- T._Iron II,51
58,Nahariyya- Canaanite Temple_Middle Bronze II,51
59,Bet Mirsham- T._Iron II,51
60,Yiftah'el- H._Pre-Pottery Neolithic B,50
61,Bet She'an- T._Iron II,49
62,Lakhish- T._Late Bronze II,49
63,Bet Mirsham- T._Middle Bronze II,49
64,Besamon_Neolithic,48
65,Kfar Monash_Early Bronze IB,48
66,Ramat Rahel_Iron II,45
67,Magharat Shuqba_Natufian,45
68,Jerusalem- City of David_Early Roman (period),44
69,Bet She'an- T._Iron I,44
70,Jerusalem- Old City_Early Roman (period),44
71,Ramla- esh-Sheikh Rihan_Early Islamic,43
72,Jerusalem- Har ha-Zofim (east)_Early Roman (period),43
73,Zif- Kh._Middle Palaeolithic,43
74,Jerusalem- Rehov Salah ed-Din- Ministry of Justice_Late Roman,42
75,Jerusalem- `En Rogel_Early Roman (period),41
76,`Arad- T._Iron II,41
77,Me`arat Oren_Natufian,39
78,Nemal Akhziv_Iron II,38
79,Megiddo- T._Early Bronze I,38
80,`Atlit_Persian,37
81,Sha`ar ha-Golan_Pottery Neolithic,37
82,Besamon_Pottery Neolithic,36
83,Caesarea_Fatimid,36
84,Har Harif_Harifian,36
85,Nahariyya- Giv`at Katzenelson_Late Roman,36
86,Jerusalem- Ketef Hinnom_Iron IIC-Babylonian,35
87,Megiddo- T._Middle Bronze II,35
88,Hamadya_Pottery Neolithic,34
89,Magharat Umm Qatafa_Lower Palaeolithic,34
90,Jerusalem- Giv`at ha-Mivtar_Early Roman (period),34
91,Makr- el-_Late Roman,33
92,Minha- H._Pottery Neolithic,33
93,`Atlit_Crusader,33
94,`Ujul- T. el-_Late Bronze,33
95,Tiberias and Hammat_Fatimid,33
96,Me`arot Yonim_Natufian,32
97,Nizzana_Byzantine,32
98,Dan- T._Late Bronze II,32
99,נחל עומר_Early Islamic,32
100,Caesarea_Early Islamic,31
101,Holot Qesari (south)_Late Roman - Byzantine,31
102,Bet-Shemesh- T._Late Bronze II,31
103,Mizpah_Early Bronze I,30
104,Ashkelon  1933_Iron IIC-Babylonian-Persian,30
105,Megiddo- T._Middle Bronze I,29
106,Mizpah_Iron II,29
107,Me`arat Kebara_Upper Palaeolithic,29
108,`Ovadya- T.- Prehistoric site_Lower Palaeolithic,28
109,Caesarea_Byzantine,28
110,Jerusalem- Mount Scopus (west)_Early Roman (period),28
111,Jerusalem- Binyane ha-Umma_Roman,28
112,`En Gedi_Early Roman (period),28
113,Lidd- Kh._Late Roman,28
114,Zaf- T._Pre-Ghassulian Chalcolithic,28
115,BURNT HOUSE_Early Roman (period),27
116,Jerusalem- Old City- Jewish Quarter- Area F- M_Iron II,27
117,Nemal Akhziv_Iron IIB,27
118,Palmahim_Late Roman,27
119,Hammat_Fatimid,27
120,Bet-Shemesh- T._Iron I,27
121,Nahal Hever_Roman,26
122,'En Tamar_Roman,26
123,Jerusalem- Old City- Western and Southern Walls_Iron II,26
124,Jericho- T._Pre-Pottery Neolithic B,26
125,`Ai_Early Bronze I,26
126,Jerusalem- Old City_Late Hellenistic,26
127,Bir er-Ruqeish_Iron II,26
128,Be'er Sheva`- H. Zafad_Late Chalcolithic,25
129,Ha-Gosherim_Hellenistic,25
130,Nahal Mishmar- Cave of the Treasure_Late Chalcolithic,25
131,Me`arat ha-Gulgolet_Middle Palaeolithic,25
132,Jerusalem- `En Rogel_Late Roman,24
133,Yavne (north-west)_Iron IIA,24
134,Me`arat Amira_Upper Palaeolithic,24
135,Besamon_Pre-Pottery Neolithic,24
136,Moa_Roman,24
137,Sharuhen- T._Iron II,23
138,Mezad Rahel_Roman,23
139,Hazor- T._Late Bronze II,23
140,Kavul_Early Byzantine,23
141,Nemal Akhziv_Iron IIC,23
142,Bet She'an- T._Late Bronze,22
143,Qeiyafa- Kh._Iron IIA,22
144,Me`arat ha-Gulgolet_Lower Palaeolithic,22
145,Me`arot Yonim_Upper Palaeolithic,21
146,`Atlit_Middle Bronze II,21
147,Sharuhen- T._Iron I,21
148,Afeq_Middle Bronze II,21
149,Qumran- Cave 4Q_Early Roman (period),21
150,Shiqmim (Unofficial name)_Late Chalcolithic,21
151,Hedera_Late Roman,21
152,Panias- H._Ottoman,20
153,Bet She'an_Mamluk,20
154,Anafa- T._Hellenistic,20
155,Jerusalem- Old City- Western and Southern Walls_Middle Roman - Late Roman,20
156,Jerusalem- Pisgat Ze'ev_Early Roman (period),20
157,Caesarea_Early Roman (period),20
158,Bet She'an- T._Hellenistic,20
159,Gush Halav_Byzantine,20
160,Hazor- T._Iron II,20
161,Bet She'an- T._Late Bronze I,20
162,Sheva`- T._Iron II,19
163,Rehov- T._Iron IIA,19
164,Ramla_Early Islamic,19
165,Gezer- T._Late Bronze II,19
166,Neve Ur_Middle Bronze II,19
167,Jericho- T._Pottery Neolithic A,19
168,`Ujul- T. el-_Late Bronze I,19
169,Be'er Sheva`- H. Matar_Late Chalcolithic,18
170,Samaria_Hellenistic,18
171,Asherat_Late Roman,18
172,`Ai_Early Bronze II-III,18
173,Bet She'an- T._Roman,18
174,Nahal Hever_Middle Roman (70-135 CE),18
175,Magharat Shuqba_Middle Palaeolithic,18
176,Barqai_Middle Bronze IIB,18
177,Zafit- T._Persian,18
178,Har Qedumim_Middle Palaeolithic,18
179,Bet Mirsham- T._Middle Bronze IIB,18
180,Bet She'an- T._Middle Bronze IIB,17
181,Mesad Boqeq_Byzantine,17
182,Megiddo- T._Late Bronze,17
183,Nahal Mishmar_Late Chalcolithic,17
184,`En Gedi_Roman,17
185,Ma`yan Barukh_Roman,17
186,Afeq_Late Bronze II,17
187,Zuq el-Fauqani ez-_Byzantine,17
188,Mezad Rahel_Early Roman (period),16
189,Lakhish- T._Persian,16
190,Bet-Shemesh- T._Middle Bronze II,16
191,Jisr- el-_Middle Bronze II,16
192,Caesarea_Crusader,16
193,Christmas Cave- Nahal Qidron_Roman,16
194,Megiddo- T._Middle Bronze II-Late Bronze,16
195,Nahal tut_Persian,16
196,`Alya- Kh._Roman,16
197,Avel Bet Ma`akha- T._Lower Palaeolithic,16
198,Nahal Hever- Cave 2_Middle Roman,15
199,Neve Ur_Middle Bronze IIA,15
200,Ard es-Samrra_Pottery Neolithic,15
201,Arshaf- T._Crusader,15
202,`En Gedi_Middle Roman,15
203,Nizzana_Late Byzantine,15
204,`Akko (north)_Early Roman (period),14
205,Moa_Late Roman,14
206,Nahal Zin_Upper Paleolithic,14
207,Ono_Byzantine,14
208,`Ujul- T. el-_Middle Bronze IIB,14
209,Zelef- H._Middle Bronze II,14
210,Palmahim_Late Roman - Byzantine,14
211,Haifa- T. Abu Hawwam_Iron I,14
212,Nahal 'Omer_Early Islamic,14
213,Jerusalem- Har ha-Zofim_Early Roman (period),14
214,Rosh ha-`Ayin_Ottoman,13
215,Haifa- T. Abu Hawwam_Persian,13
216,Nahal Hadera (north)_Late Roman,13
217,Samaria_Roman,13
218,Nahal Zin_Natufian,13
219,`Akko_Crusader,13
220,Ashqelon- Afridar and Barnea`_Pre-Pottery Neolithic C,13
221,Ha-Gosherim_Early Roman (period),13
222,Bet She'an- T._Early Roman (period),13
223,Ramla_Mamluk,13
224,Ashqelon- T. Ashqelon_Middle Roman - Late Roman,13
225,Nahal Ze`elim_Late Chalcolithic,13
226,Sha`ar Efrayim (south) [north]_Late Chalcolithic,12
227,Yoqne`am- T._Iron I,12
228,Neve Ur_Pre-Pottery Neolithic A,12
229,Qastra- H._Byzantine,12
230,Bet She'an- T._Byzantine,12
231,Afeq_Roman,12
232,Maresha- T._Late Hellenistic,12
233,Karkor `Illit- H._Byzantine,12
234,Har Mizpe Yammim_Persian,12
235,Ni`ana- Kh._Byzantine,12
236,Sharuhen- T._Persian,12
237,Sha`ar ha-Golan_Late Neolithic,12
238,Nahal Be'er Sheva`_Late Chalcolithic,12
239,Lidd- Kh._Late Roman - Byzantine,12
240,Ashqelon- T. Ashqelon_Early Roman (period),12
241,Qastra- H._Early Roman (period),11
242,Rasm Kharbush_Late Chalcolithic,11
243,`En Gedi_Late Hellenistic,11
244,Jerusalem- Rockefeller Museum_Late Roman,11
245,Gezer- T._Iron I,11
246,Minha- H._Pottery Neolithic A,11
247,Gamma- T._Persian,11
248,Nahal Mishmar_Roman,11
249,Qedesh- T._Middle Bronze I,11
250,Mishmarot_Roman,11
251,Zuq el-Fauqani ez-_Arab-Byzantine,11
252,Jerusalem- Ymca--Keren ha-Yesod Street_Late Roman,11
253,Bet Yerah- T._Early Bronze II,11
254,Besamon_Pottery Neolithic A,11
255,Zippor- T._Persian,11
256,Hatula_Pre-Pottery Neolithic A,11
257,`Ard el-Mihjar_Byzantine,11
258,Burga- T._Middle Bronze IIA,11
259,Me`arat Kebara_Middle Palaeolithic,11
260,Rasm- Kh. er-_Hellenistic,10
261,Bira- Kh. el-_Late Chalcolithic,10
262,Jerusalem- Rehov Salah ed-Din- Ministry of Justice_Middle Roman - Late Roman,10
263,Me`arat Kebara_Kebaran,10
264,Jerusalem- Giva`t Shapira_Early Roman (period),10
265,Bet Yerah- T._Early Bronze III,10
266,Gezer- T._Early Bronze I,10
267,Jerusalem- ha-`Ophel_Iron II,10
268,Me`arat Sefunim_Upper Palaeolithic,10
269,Jerusalem- Old City- Western and Southern Walls_Fatimid,10
270,Ashqelon- T. Ashqelon_Byzantine,10
271,Zariq- T. and `En Zariq_Pottery Neolithic B / Pre-Ghassulian Chc,10
272,  Ashkelon  region  סביבות  אשקלון_Persian (?),10
273,Bet She`arim- H._Byzantine,10
274,Sera`- T._Late Bronze IIB-Iron I,9
275,Jerusalem- Nahalat Ahim_Byzantine,9
276,Jerusalem- Nahalat Ahim_Late Byzantine,9
277,Bet Mirsham- T._Late Bronze II,9
278,Bet She'an- T._Early Bronze III,9
279,Hefzi-Bah_Geometric Kebaran,9
280,Caesarea_Late Roman,9
281,Shubeika- Kh. esh-_Roman,9
282,`Ai_Early Bronze III,9
283,`Ar`ara_Roman,9
284,Hoga- H._Byzantine,9
285,Jerusalem- Old City- Jewish Quarter- Cardo_Early Islamic,9
286,Afeq_Iron I,9
287,Ni`ana- Kh._Late Roman - Early Byzantine,9
288,Ashdod Yam- H._Late Bronze II,9
289,`Ujul- T. el-_Middle Bronze IIB-C,9
290,Haifa- T. Abu Hawwam_Autonomous;(399BCE - 337BCE),9
291,Qastra- H._Late Roman - Byzantine,9
292,Moza `Illit_Late Roman,9
293,Sharuhen- T._Late Bronze IIB-Iron I,9
294,Minha- H._Neolithic,9
295,Azor_Middle Bronze IIB,9
296,Qumran Caves_Early Roman (period),9
297,Hazor- T._Middle Bronze II,9
298,Zippori_Middle Roman - Late Roman,9
299,Rosh Zayit- H._Iron II,9
300,Haruzim (east)_Pre-Pottery Neolithic C,8
301,Ramot Menashe 1_Lower Palaeolithic,8
302,Qastra- H._Roman,8
303,Christmas Cave- Nahal Qidron_Late Chalcolithic,8
304,Batash- T._Iron II,8
305,Bet She'an- T._Middle Bronze I,8
306,Qitmit- H._Iron II,8
307,Hanita_Late Roman,8
308,Jerusalem- Mizrah Talpiyyot_Early Roman (period),8
309,Ma`yan Barukh_Lower Palaeolithic,8
310,Jersusalem- `Arab es-Sawahira_Byzantine,8
311,(+)Yehud- T. (1269/0)_Middle Bronze I,8
312,Bet She'an- T._Late Bronze IIB,8
313,Jerusalem- Old City- Jewish Quarter- Area F- M_Hellenistic,8
314,Wadi Murabba`at- Cave 1_Late Chalcolithic,8
315,Caesarea_Roman,8
316,Caesarea_Umayyad,8
317,Samaria_Iron IIC-Babylonian-Persian,8
318,Gamma- T._Iron II,8
319,Waziya- Kh. el-_Byzantine,8
320,Bet She'an- T._Late Roman,8
321,Ma`yan Barukh_Middle Bronze I,8
322,איזור כיסופים_Lower Palaeolithic,8
323,Lakhish- T._Middle Bronze I,8
324,Turmus- T._Late Chalcolithic,8
325,Ni`ana- Kh._Mamluk,8
326,Besamon_Pottery Neolithic B,8
327,Ashkelon  1933_Persian-Hellenistic,8
328,Caesarea_Late Roman - Byzantine,8
329,Dor- T._Persian,8
330,Jarrar- Kh._Late Roman,8
331,Dan- T._Iron II,8
332,Cave of Horror_Middle Roman (70-135 CE),8
333,Minha- H._Late Neolithic,8
334,Jerusalem- Old City- Western and Southern Walls_Roman,8
335,Mishmar ha-`Emeq_Byzantine,7
336,Zur Natan_Middle Roman - Late Roman,7
337,Ha-Gosherim- Nili (north)_Neolithic,7
338,Bet-Shemesh- T._Late Bronze I,7
339,Ha-Gosherim_Pre-Ghassulian Chalcolithic,7
340,Mugharet    el    Ghul_Neolithic,7
341,Ni`ana- Kh._Late Roman - Byzantine,7
342,Jerusalem- Old City- Jewish Quarter- Area F- M_Hellenistic-Roman,7
343,`Eleq- H._Early Roman (period),7
344,Qarqar- H._Late Chalcolithic,7
345,Jericho- T._Early Bronze,7
346,Tel Aviv- esh-Sheikh Muwannis_Ottoman,7
347,Me`arat Amira_Middle Palaeolithic,7
348,Jerusalem- Old City_Late Hellenistic - Early Roman (152 BCE - 70 CE),7
349,`Alya- Kh._Late Roman,7
350,Qumran- Cave 2Q_Early Roman (period),7
351,"אשקלון-ליד    בה""ס    בכפר    ג'ורה        Askhlekon        area_Roman",7
352,Haifa- Tel `Amal and Neve Yosef_Iron II,7
353,Holon- Industrial Zone_Early Bronze I,7
354,Serah `Illit- H._Late Roman,7
355,Tiv`on_Roman,7
356,Megiddo- T._Late Bronze IIB-Iron I,7
357,Besamon_Early Bronze,7
358,Ashqelon- Migdal Ashqelon_Byzantine,7
359,Ha-Gosherim- Nili (north)_Chalcolithic,7
360,Bet She'an- T._Iron IIA,7
361,Azor_Late Chalcolithic,7
362,Jerusalem- Old City- Jewish Quarter- Cardo_Mamluk,7
363,Afeq_Middle Bronze II-Late Bronze,6
364,Mazoq Nahal Mitla_Middle Palaeolithic,6
365,עכו_Crusader,6
366,Jerusalem- The Jewish Quarter- St. Mary of the Knights_Crusader,6
367,Lidd- Kh._Byzantine,6
368,Jerusalem- Baq`a_Lower Palaeolithic,6
369,Jerusalem- `En Rogel_Byzantine,6
370,Ha-Gosherim- Nili (north)_Early Bronze,6
371,`En `Aqev_Upper Palaeolithic,6
372,Jerusalem- Mizrah Talpiyyot_Roman,6
373,Bet Mirsham- T._Late Bronze,6
374,Ashqelon- T. Ashqelon_Late Roman,6
375,Jerusalem- Old City_Iron II,6
376,Nahariyya_Autonomous;(399BCE - 300BCE),6
377,Bet Guvrin_Late Roman,6
378,Kinneret_Early Bronze II,6
379,רמות מנשה 1_Lower Palaeolithic,6
380,Bet She'an_Umayyad,6
381,Mizpah_Early Bronze,6
382,Giv`at Yasaf_Late Roman,6
383,Yoqne`am- T._Middle Bronze II,6
384,Ashqelon- T. Ashqelon_Roman,6
385,Gan Soreq (north)_Autonomous;(400BCE - 331BCE),6
386,Jerusalem- Mamilla_Byzantine,6
387,Tiv`on_Middle Roman,6
388,Turmus- T._Late Chalcolithic-Pre-Ghassulian Chalcolithic,6
389,Dalia 1_Lower Palaeolithic,6
390,Qitmit- H._Iron IIC,6
391,Kabri_Pottery Neolithic B / Pre-Ghassulian Chc,6
392,(+)Gan Soreq (north) (4398/0);Gan Soreq (south) (839/0);Gan Soreq (south) [west] (36119/0)_Antiochus IV;(175BCE - 164BCE),6
393,Zur Natan_Byzantine,6
394,Shechem (Ancient Site)_Middle Bronze II,6
395,Hedera_Late Roman - Byzantine,6
396,Caesarea_Late Byzantine-Ummayad,6
397,Jerusalem- City of David_Hellenistic-Roman,6
398,Sharuhen- T._Late Bronze II,6
399,`Ein el-Hariri_Late Chalcolithic,6
400,Beth Zur_Iron II,6
401,`Akko- T._Persian,6
402,Mezad Sha`ar Ramon_Late Roman,6
403,Besamon_PPN,6
404,Ni`ana- Kh._Early Byzantine,6
405,Kokhav ha-Yarden_Crusader,6
406,`En Gedi - Goren- Tell_Iron II,6
407,Bet She'an- T._Early Bronze I,6
408,Jerusalem- Old City- Western and Southern Walls_Great Revolt;(69CE / 70CE),6
409,Megiddo- T._Late Bronze I,6
410,Shubeika- Kh. esh-_Late Roman - Early Byzantine,6
411,Manawat- el-_Late Roman,6
412,Jerusalem- Nahalat Ahim_Late Bronze II,6
413,Haifa- Shiqmona_Middle Bronze II,6
414,בית גמליאל_Middle Bronze II,6
415,Cave of Horror_Roman,6
416,Me`arat Oren_Pre-Pottery Neolithic B,6
417,Yoqne`am- T._Iron II,5
418,Montfort_Crusader,5
419,קבר  אל  בסה  El  Basseh_Roman,5
420,Jerusalem- Ketef Hinnom_Early Roman (period),5
421,Jerusalem- Wa`ar Abu es-Safa_Early Roman (period),5
422,`Utsa- H._Hellenistic,5
423,Be'er Shema`- H._Late Byzantine,5
424,Jerusalem- Giv`at Shapira_Early Roman (period),5
425,`En Gedi_Late Hellenistic - Roman,5
426,Zippori_Roman,5
427,Timna`_Late Bronze,5
428,Gezer- T._Iron II,5
429,Gezer- T._Middle Bronze II,5
430,Trig. point 819-A (west)_Byzantine,5
431,American  Colony  Tombs-1940_Late Roman,5
432,Lakhish- T._Late Bronze,5
433,`Akko (north)_Roman,5
434,Haifa- T. Abu Hawwam_Iron II,5
435,Caesarea_Middle Roman - Late Roman,5
436,Jericho- T._Late Bronze I,5
437,Lod_Roman,5
438,Maresha- T._Persian,5
439,MAGHARAT UMM EZ-ZUWEITINA_Natufian,5
440,Gamma- T._Iron Age,5
441,Mamshit- H._Late Roman,5
442,Wadi Murabba`at- Cave 1_Early Roman (period),5
443,Berekhat Ram_Lower Palaeolithic,5
444,`En ha-Shomer_Epi-Palaeolithic,5
445,Panias- H._Ayyubid,5
446,Nahariyya- Giv`at Katzenelson_Byzantine,5
447,Jericho- T._Late Chalcolithic,5
448,Ha-Gosherim- Nili (north)_Late Chalcolithic,5
449,Rekhesh- T._Iron I,5
450,Bet Natif- H._Roman,5
451,Jerusalem- Romema_Early Roman (period),5
452,Miqne- T._Late Bronze II,5
453,Sha`ar ha-Golan_Neolithic,5
454,Abu Ghosh_Pre-Pottery Neolithic B,5
455,Gezer- T._Early Bronze,5
456,Qastra- H._Late Roman,5
457,Iqrit_Late Roman - Early Byzantine,5
458,Jerusalem- Old City_Late Hellenistic-Early Roman (period),5
459,Gamma- T._Persian (?),5
460,Mishmar ha-`Emeq_Late Roman - Early Byzantine,5
461,Sharuhen- T._Iron I (?),5
462,Mafjar- Kh. el-_Early Islamic,5
463,Ben Shemen_Middle Roman (70-135 CE),5
464,Makr- el-_Byzantine,5
465,`En Gedi_Late Hellenistic - Early Roman,5
466,`Aqav- H._Byzantine,5
467,`Utsa- H._Byzantine,5
468,`Ujul- T. el-_Middle Bronze I,5
469,Beit Fajjar_Late Roman - Byzantine,5
470,Jerusalem- Kh. el-Burj_Crusader,5
471,Jerusalem- City of David_Early Bronze I,5
472,Jericho- T._Pre-Pottery Neolithic A,5
473,`Arad- T._Persian,5
474,Kabri_Pottery Neolithic B / Pre-Ghassulian Chalcolithic,5
475,Jerusalem- Old City- Jewish Quarter- Area F- M_Late Hellenistic,5
476,Nahal Mishmar- Me`arat ha-Matmon_Roman,5
477,`Ira T._Iron II,5
478,Ashdod- T._Iron I,5
479,Barqai_Middle Bronze II,5
480,Maresha- T._Byzantine,4
481,Jerusalem- `Ein el-Haniya_Byzantine,4
482,Zippori_Byzantine,4
483,Bet Mirsham- T._Iron II (?),4
484,Bet She`arim- H._Roman,4
485,Jerusalem- Giv`at Sha'ul_Agrippa II;(50CE - 100CE),4
486,Mezad `Ateret_Demetrius II;(145BCE / 144BCE),4
487,Me`arat Oren_Geometric Kebaran,4
488,`Ujul- T. el-_Late Bronze (?),4
489,Qanat el-Ja`ar_Early Bronze IB,4
490,Gezer- T._Late Bronze (?),4
491,Lakhish- T._Early Bronze II,4
492,`En Gedi_Late Byzantine,4
493,Burnat- Kh._Alexander Jannaeus;(104BCE - 80BCE / 79BCE),4
494,Nahariyya- Giv`at Katzenelson_Roman,4
495,Qashish- T._Early Bronze III,4
496,Nahal Ze'elim_Late Chalcolithic,4
497,Tirat Karmel_Middle Palaeolithic,4
498,Ashqelon- T. Ashqelon_Fatimid,4
499,Za`quqa- Kh._Early Hellenistic,4
500,Minha- H._Pottery Neolithic B,4
501,El-Bineh  1932_Late Roman,4
502,Jerusalem- Old City- Jewish Quarter- Israelite and Hellenistic Towers_Umayyad,4
503,Meron_Nero;(54CE - 68CE),4
504,טולול  רוסום  Tulul  er-Rusum_Byzantine,4
505,Khan- Kh. el-_Byzantine,4
506,Ashqelon- Industrial Area (north)_Byzantine,4
507,Kafar Bara_Late Roman - Early Byzantine,4
508,`Eleq- H._Late Byzantine,4
509,Jericho- T._Pottery Neolithic,4
510,אתלית  ים-  אתר  תת  ימי_Pottery Neolithic A,4
511,`En Gedi - Goren- T._Persian,4
512,Mahzevat `Evron_Lower Palaeolithic,4
513,Mikhal- T._Autonomous;(500BCE - 400BCE),4
514,Jatt_Late Bronze II,4
515,Gan Soreq (north)_Ptolemy II;(285BCE - 246BCE),4
516,Ramat Rahel_Persian,4
517,Ha-Gosherim_Late Hellenistic,4
518,Ramat Rahel_Late Roman,4
519,Mishor Adumim- Khan el-Ahmar_Byzantine,4
520,סאווריף  -1932  Sawarif_Early Roman (period),4
521,Jerusalem- Ketef Hinnom_Persian,4
522,Mizpah_Iron I,4
523,Jerusalem- City of David_Middle Roman - Late Roman,4
524,Jericho- T._Pre-Pottery Neolithic,4
525,Maresha- T._Early Roman (period),4
526,Jericho- T._Iron II,4
527,(+)Qedesh- T. (3631/0);Qedesh- T. (north) (22853/0)_Cleopatra Thea (Seleucid)#%Antiochus VIII;(126BCE / 125BCE),4
528,Tel Aviv- T. Qasila_Iron II,4
529,Haruzim (east)_Neolithic,4
530,Dor- T._Ptolemy II;(285BCE - 272BCE),4
531,Me`arat ha-Gulgolet_Middle Palaeolithic (?),4
532,Muzzav- H._Roman,4
533,Hishule Carmel- Underwater site_Neolithic,4
534,(+)Gan Soreq (north) (4398/0);Gan Soreq (south) (839/0);Gan Soreq (south) [west] (36119/0)_Antiochus III;(198BCE - 187BCE),4
535,`En Gedi_Late Roman - Byzantine,4
536,BURNT HOUSE_Roman (?),4
537,Jerusalem- `En Rogel_Late Roman - Byzantine,4
538,Tiberias and Hammat_Early Islamic,4
539,Mevorakh- T._Roman,4
540,Ha-Gosherim- Nili (north)_Pottery Neolithic B,4
541,Jerusalem- Old City- Jewish Quarter- Cardo_Ayyubid,4
542,`Azeqa- T._Iron II,4
543,Jerusalem- Old City_Byzantine,4
544,Dor- T._Ptolemy I;(305BCE / 304BCE - 283BCE / 282BCE),4
545,Ashdod- T._Iron II,4
546,Mishmar ha-`Emeq_Roman-Byzantine,4
547,Zelef- H._Late Bronze II,4
548,Ashdod- T._Early Roman (period),4
549,Me`arat ha-Gulgolet_Lower Palaeolithic (?),4
550,Shubeib- T._Late Roman,4
551,Trig. point 204-E_Byzantine,4
552,Caesarea_Late Roman - Early Byzantine,4
553,Ha-Gosherim- Nili (north)_Late Neolithic,4
554,Meron_Gordian III;(238CE - 244CE),4
555,Kabri- el-_Late Roman,4
556,מערת  חג  המולד  בנחל  קדרון_Roman,4
557,Zomet Pardesiya_Byzantine,4
558,Gezer- T._Hellenistic,4
559,Burnat- Kh._Alexander Jannaeus;(80BCE / 79BCE),4
560,Tiv`on_Early Roman (period),4
561,Jerusalem- Old City_Early Byzantine,4
562,נחל חבר- מערה ב'_Middle Roman (70-135 CE),4
563,כברי תחנת הטרנספורמטור_Late Roman,4
564,Dhahiriya- edh-_Iron II,4
565,Gan Soreq (north)_Ptolemy II;(275BCE / 274BCE - 246BCE),4
566,Mikhal- T._Ptolemy I;(305BCE / 304BCE - 283BCE / 282BCE),4
567,Cave of Horror_Early Roman - Middle Roman,4
568,Ma`yan Barukh (north-east)_Late Byzantine (?),4
569,Jerusalem- City of David- Pool of Shiloah_Roman,4
570,Khirba- el-_Mattathias Antigonus;(40BCE - 37BCE),4
571,Tel Aviv- Ha-Qirya_Hellenistic,3
572,Ashqelon- T. Ashqelon_Late Bronze IIB-Iron I,3
573,Ashqelon- T. Ashqelon_Late Bronze,3
574,Qiryat Ata_Byzantine,3
575,Binyamina_Roman,3
576,Qesari- H._Islamic,3
577,Bet She'an- T._Persian,3
578,Kabri- el-_Roman,3
579,Hedera_Late Roman - Early Byzantine,3
580,Shubeika- Kh. esh-_Late Byzantine-Ummayad,3
581,Tel Yosef_Middle Bronze II,3
582,Afeq_Late Bronze I,3
583,Mishmar ha-`Emeq_Late Roman,3
584,Kison- T._Iron II,3
585,Shubeika- Kh. esh-_Roman-Byzantine,3
586,`Ujul- T. el-_Late Bronze I (?),3
587,Mishmar David_Hellenistic,3
588,Be'er Sheb'a- Old Beduin Market_Byzantine,3
589,Hermesh- H._Persian,3
590,(+)`Akko- Underwater Site (4401/0);`Akko (2266/0)_Crusader,3
591,Bene Beraq- Giv`at Sokolov_Late Chalcolithic,3
592,Hurfeish_Early Roman (period),3
593,Iqrit_Late Roman,3
594,Azor_Ottoman,3
595,Qallil- T._Middle Bronze II,3
596,Jerusalem- Manahat_Late Bronze II,3
