valid 	 train
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 `En Gedi_Byzantine
Maresha_ T._Hellenistic 	 `En Gedi_Byzantine
Maresha_ T._Hellenistic 	 Jerusalem_ Old City_Early Roman (period)
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Persian-Hellenistic
Maresha_ T._Hellenistic 	 Megiddo_ T._Late Bronze II
Maresha_ T._Hellenistic 	 Megiddo_ T._Late Bronze II
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Ramat Rahel_Iron II
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Maresha_ T._Hellenistic 	 Maresha_ T._Hellenistic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Gulgolet_Middle Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Gulgolet_Middle Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat Tannur_Lower Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Jericho_ T._Pre-Pottery Neolithic B
Me`arat ha-Nahal_Upper Palaeolithic 	 Zif_ Kh._Middle Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat Amira_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat Kebara_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Jericho_ T._Pre-Pottery Neolithic B
Me`arat ha-Nahal_Upper Palaeolithic 	 Magharat Shuqba_Middle Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Me`arat ha-Nahal_Upper Palaeolithic 	 Me`arat ha-Nahal_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Me`arat Tannur_Middle Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Me`arat Tannur_Middle Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 `Ovadya_ T._ Prehistoric site_Lower Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Zif_ Kh._Middle Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Magharat Shuqba_Middle Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Yiftah'el_ H._Pre-Pottery Neolithic B
Nahal Zin_Upper Palaeolithic 	 Yiftah'el_ H._Pre-Pottery Neolithic B
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Besamon_Pre-Pottery Neolithic B
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Nahal Zin_Upper Palaeolithic 	 Nahal Zin_Upper Palaeolithic
Minha_ H._Pottery Neolithic 	 Afeq_Late Bronze II
Minha_ H._Pottery Neolithic 	 Minha_ H._Pre-Pottery Neolithic B
Minha_ H._Pottery Neolithic 	 Minha_ H._Pottery Neolithic
Minha_ H._Pottery Neolithic 	 Gezer_ T._Late Bronze
Minha_ H._Pottery Neolithic 	 Gezer_ T._Late Bronze
Minha_ H._Pottery Neolithic 	 Caesarea_Early Islamic
Tiberias and Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Tiberias and Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Tiberias and Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Tiberias and Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Tiberias and Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Tiberias and Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Dan_ T._Late Bronze II 	 Dan_ T._Late Bronze II
Dan_ T._Late Bronze II 	 Dan_ T._Late Bronze II
Dan_ T._Late Bronze II 	 Dan_ T._Late Bronze II
Dan_ T._Late Bronze II 	 Dan_ T._Late Bronze II
Dan_ T._Late Bronze II 	 Dan_ T._Late Bronze II
Nizzana_Byzantine 	 `En Gedi_Roman
Nizzana_Byzantine 	 Jerusalem_ Mount Scopus (west)_Early Roman (period)
Nizzana_Byzantine 	 Nizzana_Byzantine
Nizzana_Byzantine 	 Ramat Rahel_Iron II
Nizzana_Byzantine 	 Nahal Hemar_Pre-Pottery Neolithic B
Nizzana_Byzantine 	 Jerusalem_ Old City_ Western and Southern Walls_Early Roman (period)
Nizzana_Byzantine 	 Ramla_ esh-Sheikh Rihan_Early Islamic
Nizzana_Byzantine 	 Horevot Mazada_Roman
Nizzana_Byzantine 	 Me`arat Oren_Natufian
Nizzana_Byzantine 	 `Ujul_ T. el-_Middle Bronze II
Nahal Omer _Early Islamic 	 Qumran_ Cave 4Q_Early Roman (period)
Nahal Omer _Early Islamic 	 Nahal Omer _Early Islamic
Nahal Omer _Early Islamic 	 Nahal Omer _Early Islamic
Nahal Omer _Early Islamic 	 Mesad Boqeq_Byzantine
Nahal Omer _Early Islamic 	 Nahal Omer _Early Islamic
Nahal Omer _Early Islamic 	 Nahal Mishmar_Late Chalcolithic
Bet-Shemesh_ T._Late Bronze II 	 Bet-Shemesh_ T._Late Bronze II
Bet-Shemesh_ T._Late Bronze II 	 Bet-Shemesh_ T._Late Bronze II
Bet-Shemesh_ T._Late Bronze II 	 Bet-Shemesh_ T._Late Bronze II
Bet-Shemesh_ T._Late Bronze II 	 Bet-Shemesh_ T._Late Bronze II
Bet-Shemesh_ T._Late Bronze II 	 Gezer_ T._Late Bronze II
Caesarea_Early Islamic 	 Caesarea_Early Islamic
Caesarea_Early Islamic 	 Caesarea_Early Islamic
Caesarea_Early Islamic 	 Ramla_ esh-Sheikh Rihan_Early Islamic
Caesarea_Early Islamic 	 Bet She'an_Mamluk
Caesarea_Early Islamic 	 Bet She'an_Mamluk
Caesarea_Early Islamic 	 Hammat_Fatimid
Caesarea_Early Islamic 	 Caesarea_Byzantine
Caesarea_Early Islamic 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Late Hellenistic - Early Roman
Holot Qesari (south)_Late Roman - Byzantine 	 Holot Qesari (south)_Late Roman - Byzantine
Holot Qesari (south)_Late Roman - Byzantine 	 Holot Qesari (south)_Late Roman - Byzantine
Holot Qesari (south)_Late Roman - Byzantine 	 Holot Qesari (south)_Late Roman - Byzantine
Holot Qesari (south)_Late Roman - Byzantine 	 Holot Qesari (south)_Late Roman - Byzantine
Holot Qesari (south)_Late Roman - Byzantine 	 Holot Qesari (south)_Late Roman - Byzantine
Holot Qesari (south)_Late Roman - Byzantine 	 Holot Qesari (south)_Late Roman - Byzantine
Holot Qesari (south)_Late Roman - Byzantine 	 Holot Qesari (south)_Late Roman - Byzantine
Me`arat ha-Gulgolet_Middle Palaeolithic 	 Magharat Shuqba_Middle Palaeolithic
Me`arat ha-Gulgolet_Middle Palaeolithic 	 Nahal Pattish (Gilat)_Late Chalcolithic
Me`arat ha-Gulgolet_Middle Palaeolithic 	 Me`arat ha-Gulgolet_Middle Palaeolithic
Me`arat ha-Gulgolet_Middle Palaeolithic 	 Me`arat ha-Gulgolet_Lower Palaeolithic
Me`arat ha-Gulgolet_Middle Palaeolithic 	 Magharat Shuqba_Middle Palaeolithic
Me`arat ha-Gulgolet_Middle Palaeolithic 	 Magharat Shuqba_Middle Palaeolithic
Ashkelon  1933 _Iron IIC-Babylonian-Persian 	 Ashkelon  1933 _Iron IIC-Babylonian-Persian
Ashkelon  1933 _Iron IIC-Babylonian-Persian 	 Ashkelon  1933 _Iron IIC-Babylonian-Persian
Ashkelon  1933 _Iron IIC-Babylonian-Persian 	 Ashkelon  1933 _Iron IIC-Babylonian-Persian
Ashkelon  1933 _Iron IIC-Babylonian-Persian 	 Ashkelon  1933 _Iron IIC-Babylonian-Persian
Ashkelon  1933 _Iron IIC-Babylonian-Persian 	 Ashkelon  1933 _Iron IIC-Babylonian-Persian
Ashkelon  1933 _Iron IIC-Babylonian-Persian 	 Ashkelon  1933 _Iron IIC-Babylonian-Persian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat Kebara_Natufian
Me`arat ha-Nahal_Natufian 	 Nizzana_Byzantine
Me`arat ha-Nahal_Natufian 	 Me`arat Kebara_Natufian
Me`arat ha-Nahal_Natufian 	 `Arad_ T._Early Bronze II
Me`arat ha-Nahal_Natufian 	 Nahariyya_ Canaanite Temple_Middle Bronze II
Me`arat ha-Nahal_Natufian 	 Magharat Shuqba_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat Kebara_Natufian
Me`arat ha-Nahal_Natufian 	 Magharat Shuqba_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat Kebara_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Magharat Shuqba_Natufian
Me`arat ha-Nahal_Natufian 	 Magharat Shuqba_Natufian
Me`arat ha-Nahal_Natufian 	 Magharat Shuqba_Natufian
Me`arat ha-Nahal_Natufian 	 Me`arat ha-Nahal_Natufian
Me`arat ha-Nahal_Natufian 	 Magharat Shuqba_Natufian
Mizpah_Early Bronze I 	 Mizpah_Early Bronze I
Mizpah_Early Bronze I 	 Mizpah_Early Bronze I
Mizpah_Early Bronze I 	 Mizpah_Early Bronze I
Mizpah_Early Bronze I 	 `Ujul_ T. el-_Late Bronze II
Mizpah_Early Bronze I 	 Mizpah_Early Bronze I
Mizpah_Early Bronze I 	 Mizpah_Early Bronze I
Mizpah_Early Bronze I 	 Mizpah_Early Bronze I
Megiddo_ T._Middle Bronze I 	 Gezer_ T._Late Bronze
Megiddo_ T._Middle Bronze I 	 Gezer_ T._Late Bronze
Megiddo_ T._Middle Bronze I 	 Gezer_ T._Late Bronze
Megiddo_ T._Middle Bronze I 	 Megiddo_ T._Middle Bronze I
Megiddo_ T._Middle Bronze I 	 Megiddo_ T._Middle Bronze I
Megiddo_ T._Middle Bronze I 	 Megiddo_ T._Middle Bronze I
Megiddo_ T._Middle Bronze I 	 Megiddo_ T._Middle Bronze I
Mizpah_Iron II 	 Jerusalem_ Binyane ha-Umma_Roman
Mizpah_Iron II 	 Jerusalem_ Binyane ha-Umma_Roman
Mizpah_Iron II 	 Jerusalem_ City of David_Hellenistic
Mizpah_Iron II 	 Bet-Shemesh_ T._Iron II
Mizpah_Iron II 	 Bet-Shemesh_ T._Iron II
Mizpah_Iron II 	 Bet-Shemesh_ T._Iron II
Mizpah_Iron II 	 Jerusalem_ City of David_Early Roman (period)
`En Gedi_Early Roman (period) 	 `En Gedi_Roman
`En Gedi_Early Roman (period) 	 Hazor_ T._Late Bronze II
`En Gedi_Early Roman (period) 	 Bet She'an_ T._Middle Bronze II
`En Gedi_Early Roman (period) 	 Ha-Gosherim_ Nili (north)_Pre-Ghassulian Chalcolithic
`En Gedi_Early Roman (period) 	 Nahal Mishmar_Late Chalcolithic
`En Gedi_Early Roman (period) 	 Mesad Boqeq_Byzantine
`En Gedi_Early Roman (period) 	 Nahal Mishmar_Late Chalcolithic
Burnat_ Kh._none 	 Mikhal_ T._none
Burnat_ Kh._none 	  Unknown_none
Burnat_ Kh._none 	 Burnat_ Kh._none
Burnat_ Kh._none 	 Burnat_ Kh._none
Burnat_ Kh._none 	 Burnat_ Kh._none
Burnat_ Kh._none 	 Burnat_ Kh._none
BURNT HOUSE_Early Roman (period) 	 Zaf_ T._Pre-Ghassulian Chalcolithic
BURNT HOUSE_Early Roman (period) 	 BURNT HOUSE_Early Roman (period)
BURNT HOUSE_Early Roman (period) 	 BURNT HOUSE_Early Roman (period)
BURNT HOUSE_Early Roman (period) 	 Me`arat Oren_Natufian
BURNT HOUSE_Early Roman (period) 	 Me`arat Oren_Natufian
BURNT HOUSE_Early Roman (period) 	 BURNT HOUSE_Early Roman (period)
Caesarea_Byzantine 	 Caesarea_Byzantine
Caesarea_Byzantine 	 Afeq_Late Bronze II
Caesarea_Byzantine 	 Caesarea_Byzantine
Caesarea_Byzantine 	 Caesarea_Byzantine
Caesarea_Byzantine 	 Caesarea_Byzantine
Caesarea_Byzantine 	 Caesarea_Byzantine
Jerusalem_ Binyane ha-Umma_Roman 	 Jerusalem_ Binyane ha-Umma_Roman
Jerusalem_ Binyane ha-Umma_Roman 	 Jerusalem_ Binyane ha-Umma_Roman
Jerusalem_ Binyane ha-Umma_Roman 	 `En Gedi_Roman
Jerusalem_ Binyane ha-Umma_Roman 	 Jerusalem_ Binyane ha-Umma_Roman
Jerusalem_ Binyane ha-Umma_Roman 	 Jerusalem_ Binyane ha-Umma_Roman
Jerusalem_ Binyane ha-Umma_Roman 	 Jerusalem_ Binyane ha-Umma_Roman
Jerusalem_ Mount Scopus (west)_Early Roman (period) 	 Jerusalem_ `En Rogel_Early Roman (period)
Jerusalem_ Mount Scopus (west)_Early Roman (period) 	 Jerusalem_ `En Rogel_Early Roman (period)
Jerusalem_ Mount Scopus (west)_Early Roman (period) 	 Jerusalem_ `En Rogel_Early Roman (period)
Jerusalem_ Mount Scopus (west)_Early Roman (period) 	 Jerusalem_ Mount Scopus (west)_Early Roman (period)
Jerusalem_ Mount Scopus (west)_Early Roman (period) 	 Jerusalem_ Mount Scopus (west)_Early Roman (period)
Jerusalem_ Mount Scopus (west)_Early Roman (period) 	 Jerusalem_ Mount Scopus (west)_Early Roman (period)
Lidd_ Kh._Late Roman 	 Lidd_ Kh._Late Roman
Lidd_ Kh._Late Roman 	 Lidd_ Kh._Late Roman
Lidd_ Kh._Late Roman 	 Hedera _Late Roman
Lidd_ Kh._Late Roman 	 Hedera _Late Roman
Horevot Mazada_Roman 	 Nahal Mishmar_Late Chalcolithic
Horevot Mazada_Roman 	 Mezad Rahel_Roman
Horevot Mazada_Roman 	 Mezad Rahel_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Early Roman (period)
Horevot Mazada_Roman 	 Horevot Mazada_Early Roman (period)
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Nahal Hever_Middle Roman
Horevot Mazada_Roman 	 Moa_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Nahal Hemar_Pre-Pottery Neolithic B
Horevot Mazada_Roman 	 Nahal Hemar_Pre-Pottery Neolithic B
Horevot Mazada_Roman 	 Mezad Rahel_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Horevot Mazada_Roman
Horevot Mazada_Roman 	 Wadi Murabba`at_ Cave 1_Roman
Zaf_ T._Pre-Ghassulian Chalcolithic 	 Zaf_ T._Pre-Ghassulian Chalcolithic
Zaf_ T._Pre-Ghassulian Chalcolithic 	 Zaf_ T._Pre-Ghassulian Chalcolithic
Zaf_ T._Pre-Ghassulian Chalcolithic 	 Zaf_ T._Pre-Ghassulian Chalcolithic
Zaf_ T._Pre-Ghassulian Chalcolithic 	 Zaf_ T._Pre-Ghassulian Chalcolithic
Zaf_ T._Pre-Ghassulian Chalcolithic 	 Zaf_ T._Pre-Ghassulian Chalcolithic
Zaf_ T._Pre-Ghassulian Chalcolithic 	 Zaf_ T._Pre-Ghassulian Chalcolithic
Bet-Shemesh_ T._Iron I 	 `Akko_ Persian Garden_Late Bronze II
Bet-Shemesh_ T._Iron I 	 Qeiyafa_ Kh._Iron IIA
Bet-Shemesh_ T._Iron I 	 `Akko_ Persian Garden_Late Bronze II
Bet-Shemesh_ T._Iron I 	 Jerusalem_ Old City_Early Roman (period)
Bet-Shemesh_ T._Iron I 	 Mizpah_Iron II
Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Hammat_Fatimid 	 Hammat_Fatimid
Hammat_Fatimid 	 Tiberias and Hammat_Fatimid
Hammat_Fatimid 	 Bet She'an_ T._Late Bronze II
Hammat_Fatimid 	 Bet She'an_ T._Late Bronze II
Hammat_Fatimid 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Late Hellenistic - Early Roman
Hammat_Fatimid 	 Jericho_ T._Pre-Pottery Neolithic B
Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II 	 Jerusalem_ Old City_ Jewish Quarter_ Area F_ M_Iron II
Nemal Akhziv_Iron IIB 	 Haifa_ T. Abu Hawwam_Late Bronze II
Nemal Akhziv_Iron IIB 	 Nemal Akhziv_Iron IIB
Nemal Akhziv_Iron IIB 	 Nemal Akhziv_Iron IIB
Nemal Akhziv_Iron IIB 	 `Atlit_Middle Bronze II
Nemal Akhziv_Iron IIB 	 `Atlit_Middle Bronze II
Nemal Akhziv_Iron IIB 	 Nemal Akhziv_Iron IIB
Palmahim_Late Roman 	 Palmahim_Late Roman
Palmahim_Late Roman 	 Palmahim_Late Roman
Palmahim_Late Roman 	 Palmahim_Late Roman
Palmahim_Late Roman 	 Palmahim_Late Roman
Palmahim_Late Roman 	 Palmahim_Late Roman
Palmahim_Late Roman 	 Palmahim_Late Roman
'En Tamar_Roman 	 Horevot Mazada_Roman
'En Tamar_Roman 	 'En Tamar_Roman
'En Tamar_Roman 	 'En Tamar_Roman
'En Tamar_Roman 	 Nahal Omer _Early Islamic
`Ai_Early Bronze I 	 Afeq_Middle Bronze II
`Ai_Early Bronze I 	 `Ai_Early Bronze I
`Ai_Early Bronze I 	 Jericho_ T._Middle Bronze II
Bir er-Ruqeish_Iron II 	 Bir er-Ruqeish_Iron II
Bir er-Ruqeish_Iron II 	 Bir er-Ruqeish_Iron II
Bir er-Ruqeish_Iron II 	 Bir er-Ruqeish_Iron II
Bir er-Ruqeish_Iron II 	 Bir er-Ruqeish_Iron II
Gan Soreq (north)_none 	 Burnat_ Kh._none
Gan Soreq (north)_none 	 Gan Soreq (north)_none
Gan Soreq (north)_none 	 Gan Soreq (north) (4398/0);Gan Soreq (south) (839/0);Gan Soreq (south) [west] (36119/0)_none
Gan Soreq (north)_none 	 Burnat_ Kh._none
Gan Soreq (north)_none 	 Gan Soreq (north)_none
